index,account_id,lead_owner,company,website,source,source_group,deal_stage,is_won,is_closed,outcome_3class,target_multiclass,stage_ordinal,notes_sentiment,notes_word_count,notes_has_text
1,7b2c52dD7bfEBc4,Leroy Villanueva,Singleton-Chang,https://www.paul.com/,Google Ads,Paid Ads,Closed Lost,0,1,Lost,8,8,0.25,8,1
2,Ebd4cADe1fbFe6b,Jimmy Campbell,Duffy-Santos,https://www.goodwin-rosales.com/,Cold Email,Outbound,Proposal Sent,0,0,Open,4,4,0.0,4,1
3,2Adf913Bd759ABD,Steve Haney,Watts-Park,https://riggs.com/,Cold Call,Outbound,On Hold,0,0,Open,6,6,0.0,6,1
4,71bcFbC33bADd3f,Martha Kelley,Avila and Sons,https://www.chapman.com/,Webinars,Events,Qualified,0,0,Open,2,2,-0.15,7,1
5,afb531D6053CdaD,Collin Wu,"Dickerson, Fowler and Pearson",http://www.proctor-coffey.com/,Cold Call,Outbound,Closed Won,1,1,Won,7,7,-0.35,5,1
6,9AD173aE06f88ec,Mark James,Dyer-Ferguson,http://www.merritt.info/,Purchased List,Outbound,Closed Won,1,1,Won,7,7,0.25,7,1
7,66871926697Cf65,Kaitlin Russell,Rubio PLC,http://tran.net/,Direct Traffic,Inbound,Negotiation,0,0,Open,5,5,0.0,5,1
8,C668Ed5D9D79B7E,Marcus English,Sexton Inc,http://www.mcneil.com/,Chatbot,Inbound,Closed Lost,0,1,Lost,8,8,0.2,6,1
9,e4c3B3E0a9bfE7b,Charlene Christian,Malone Inc,https://www.henson.net/,Website Form,Inbound,Qualified,0,0,Open,2,2,0.2167,8,1
10,Ea0141DfDddb781,Loretta Gordon,Klein Inc,https://www.ford-mcmahon.biz/,Purchased List,Outbound,Proposal Sent,0,0,Open,4,4,0.0,7,1
11,3DDfaC7Ab369cFE,Kurt Lin,"Weaver, Russo and Mcneil",https://www.shea.info/,Retargeting Ads,Paid Ads,Contacted,0,0,Open,3,3,0.0,3,1
12,50CE12AF3265884,Yolanda Whitney,Fisher-Strickland,http://www.pollard.com/,Social Media,Social Media,Re-engagement,0,0,Open,1,1,0.0,7,1
13,3BBF3C10c8D056B,Alisha Braun,Day-Jones,https://reid.net/,Direct Traffic,Inbound,Proposal Sent,0,0,Open,4,4,-0.275,5,1
14,ea59eB42841fdEf,Charles Flowers,"Alvarez, Blevins and Rivers",https://duncan.org/,Chatbot,Inbound,Disqualified,0,1,Lost,9,9,0.0,5,1
15,CBB853F79deA7bb,Jenna Lewis,Wilcox LLC,https://www.cobb-morrow.com/,LinkedIn Outreach,Outbound,Contacted,0,0,Open,3,3,0.0,6,1
16,d5Bbf3B5ab1f6C3,Andre Baldwin,Vaughan-Joseph,http://bean-waller.com/,Purchased List,Outbound,Closed Lost,0,1,Lost,8,8,0.0,5,1
17,b9FC8C85A61A291,Brooke Mosley,Cortez-Berry,http://ortega.biz/,LinkedIn Outreach,Outbound,Closed Won,1,1,Won,7,7,-0.2,4,1
18,dCFD117B8eB7Fb6,Cassie Fox,"Villegas, Hale and Yang",https://www.macias-petty.biz/,Partner Program,Referral / Partner,Negotiation,0,0,Open,5,5,0.1,6,1
19,E07C25f9a4b990f,Gina Mcintyre,"Buckley, Hammond and Buck",https://www.lyons.com/,Networking Event,Events,Re-engagement,0,0,Open,1,1,-0.3229,5,1
20,9F69Ab3B97f59C4,Connie Stuart,Chen-Alexander,http://leon.net/,Direct Traffic,Inbound,On Hold,0,0,Open,6,6,0.0,3,1
21,f1A58FbAed36fED,Donald Salazar,"Costa, Richardson and Hawkins",http://young.com/,Webinars,Events,Disqualified,0,1,Lost,9,9,-0.4,7,1
22,Da467709aa47103,Philip Lucas,"Carter, Le and Oconnell",http://dominguez.net/,Facebook Ads,Paid Ads,Closed Won,1,1,Won,7,7,0.45,7,1
23,4ec6A5fA3Fa347f,Daisy Mcdonald,Chase LLC,https://kent.com/,Retargeting Ads,Paid Ads,Negotiation,0,0,Open,5,5,0.0533,6,1
24,FEF7fdb4C8f0993,Madison Mahoney,Kidd PLC,https://bernard-zavala.com/,Podcast,Events,Closed Won,1,1,Won,7,7,0.0,5,1
25,088c984C6B88F71,Leroy Alexander,Short Ltd,http://arellano-hanna.org/,Social Media,Social Media,Proposal Sent,0,0,Open,4,4,0.0,5,1
26,c0Af95dD2a4a292,Spencer Thomas,"David, Farley and Mckay",http://www.lin.com/,Website Form,Inbound,Closed Lost,0,1,Lost,8,8,0.1,7,1
27,D7aC885E0E2B7F8,Ricardo York,Crane-Miranda,http://newman.info/,Social Media,Social Media,Proposal Sent,0,0,Open,4,4,0.25,5,1
28,8fDabCBaaE879c2,Frances Leach,Christian-Vega,http://good-marquez.com/,Trade Show,Events,Qualified,0,0,Open,2,2,0.0,8,1
29,2Ae10DE6D6EA3a5,Jill Mcdaniel,"Payne, Landry and Krause",http://www.grant-rosario.com/,Networking Event,Events,On Hold,0,0,Open,6,6,-0.22,6,1
30,9daD51F56a1aF1d,Kaitlyn Parks,Decker-Parrish,http://www.estes.com/,Content Marketing,Inbound,On Hold,0,0,Open,6,6,0.25,3,1
31,383c7D71dDdC416,Tonya Owen,"Andrade, Burton and Pineda",https://www.hickman.com/,Google Ads,Paid Ads,Closed Won,1,1,Won,7,7,0.2,5,1
32,Da5b94d1d9FFE57,Elaine Huff,Fowler-Knight,https://www.young-bradford.info/,Chatbot,Inbound,On Hold,0,0,Open,6,6,0.0,6,1
33,5b6b711eAfC92C2,Francisco Wilkinson,Weiss LLC,http://www.horn-burch.com/,Website Form,Inbound,Proposal Sent,0,0,Open,4,4,0.4167,7,1
34,FAEDCeB6e3bBed8,Parker Bryan,"Wright, Galloway and Blair",https://www.foley.com/,Podcast,Events,Proposal Sent,0,0,Open,4,4,0.0,3,1
35,4091590a53b547b,Cindy Glass,Jarvis-Choi,http://www.cobb.com/,Retargeting Ads,Paid Ads,Re-engagement,0,0,Open,1,1,-0.0625,5,1
36,04E2D1295e4FCb8,Leslie Eaton,"Landry, Medina and Valenzuela",https://mcfarland-landry.com/,Organic Search (SEO),Inbound,Closed Won,1,1,Won,7,7,0.0,4,1
