index,account_id,source,source_group,deal_stage,stage_ordinal,outcome,is_won,is_closed,notes_sentiment,notes_word_count,lead_owner,company
1,7b2c52dD7bfEBc4,Google Ads,Paid Ads,Closed Lost,8,Lost,0,1,0.25,8,Leroy Villanueva,Singleton-Chang
2,Ebd4cADe1fbFe6b,Cold Email,Outbound,Proposal Sent,4,Open,0,0,0.0,4,Jimmy Campbell,Duffy-Santos
3,2Adf913Bd759ABD,Cold Call,Outbound,On Hold,6,Open,0,0,0.0,6,Steve Haney,Watts-Park
4,71bcFbC33bADd3f,Webinars,Events,Qualified,2,Open,0,0,-0.15,7,Martha Kelley,Avila and Sons
5,afb531D6053CdaD,Cold Call,Outbound,Closed Won,7,Won,1,1,-0.35,5,Collin Wu,"Dickerson, Fowler and Pearson"
6,9AD173aE06f88ec,Purchased List,Outbound,Closed Won,7,Won,1,1,0.25,7,Mark James,Dyer-Ferguson
7,66871926697Cf65,Direct Traffic,Inbound,Negotiation,5,Open,0,0,0.0,5,Kaitlin Russell,Rubio PLC
8,C668Ed5D9D79B7E,Chatbot,Inbound,Closed Lost,8,Lost,0,1,0.2,6,Marcus English,Sexton Inc
9,e4c3B3E0a9bfE7b,Website Form,Inbound,Qualified,2,Open,0,0,0.2167,8,Charlene Christian,Malone Inc
10,Ea0141DfDddb781,Purchased List,Outbound,Proposal Sent,4,Open,0,0,0.0,7,Loretta Gordon,Klein Inc
11,3DDfaC7Ab369cFE,Retargeting Ads,Paid Ads,Contacted,3,Open,0,0,0.0,3,Kurt Lin,"Weaver, Russo and Mcneil"
12,50CE12AF3265884,Social Media,Social Media,Re-engagement,1,Open,0,0,0.0,7,Yolanda Whitney,Fisher-Strickland
13,3BBF3C10c8D056B,Direct Traffic,Inbound,Proposal Sent,4,Open,0,0,-0.275,5,Alisha Braun,Day-Jones
14,ea59eB42841fdEf,Chatbot,Inbound,Disqualified,9,Lost,0,1,0.0,5,Charles Flowers,"Alvarez, Blevins and Rivers"
15,CBB853F79deA7bb,LinkedIn Outreach,Outbound,Contacted,3,Open,0,0,0.0,6,Jenna Lewis,Wilcox LLC
16,d5Bbf3B5ab1f6C3,Purchased List,Outbound,Closed Lost,8,Lost,0,1,0.0,5,Andre Baldwin,Vaughan-Joseph
17,b9FC8C85A61A291,LinkedIn Outreach,Outbound,Closed Won,7,Won,1,1,-0.2,4,Brooke Mosley,Cortez-Berry
18,dCFD117B8eB7Fb6,Partner Program,Referral / Partner,Negotiation,5,Open,0,0,0.1,6,Cassie Fox,"Villegas, Hale and Yang"
19,E07C25f9a4b990f,Networking Event,Events,Re-engagement,1,Open,0,0,-0.3229,5,Gina Mcintyre,"Buckley, Hammond and Buck"
20,9F69Ab3B97f59C4,Direct Traffic,Inbound,On Hold,6,Open,0,0,0.0,3,Connie Stuart,Chen-Alexander
21,f1A58FbAed36fED,Webinars,Events,Disqualified,9,Lost,0,1,-0.4,7,Donald Salazar,"Costa, Richardson and Hawkins"
22,Da467709aa47103,Facebook Ads,Paid Ads,Closed Won,7,Won,1,1,0.45,7,Philip Lucas,"Carter, Le and Oconnell"
23,4ec6A5fA3Fa347f,Retargeting Ads,Paid Ads,Negotiation,5,Open,0,0,0.0533,6,Daisy Mcdonald,Chase LLC
24,FEF7fdb4C8f0993,Podcast,Events,Closed Won,7,Won,1,1,0.0,5,Madison Mahoney,Kidd PLC
25,088c984C6B88F71,Social Media,Social Media,Proposal Sent,4,Open,0,0,0.0,5,Leroy Alexander,Short Ltd
26,c0Af95dD2a4a292,Website Form,Inbound,Closed Lost,8,Lost,0,1,0.1,7,Spencer Thomas,"David, Farley and Mckay"
27,D7aC885E0E2B7F8,Social Media,Social Media,Proposal Sent,4,Open,0,0,0.25,5,Ricardo York,Crane-Miranda
28,8fDabCBaaE879c2,Trade Show,Events,Qualified,2,Open,0,0,0.0,8,Frances Leach,Christian-Vega
29,2Ae10DE6D6EA3a5,Networking Event,Events,On Hold,6,Open,0,0,-0.22,6,Jill Mcdaniel,"Payne, Landry and Krause"
30,9daD51F56a1aF1d,Content Marketing,Inbound,On Hold,6,Open,0,0,0.25,3,Kaitlyn Parks,Decker-Parrish
31,383c7D71dDdC416,Google Ads,Paid Ads,Closed Won,7,Won,1,1,0.2,5,Tonya Owen,"Andrade, Burton and Pineda"
32,Da5b94d1d9FFE57,Chatbot,Inbound,On Hold,6,Open,0,0,0.0,6,Elaine Huff,Fowler-Knight
33,5b6b711eAfC92C2,Website Form,Inbound,Proposal Sent,4,Open,0,0,0.4167,7,Francisco Wilkinson,Weiss LLC
34,FAEDCeB6e3bBed8,Podcast,Events,Proposal Sent,4,Open,0,0,0.0,3,Parker Bryan,"Wright, Galloway and Blair"
35,4091590a53b547b,Retargeting Ads,Paid Ads,Re-engagement,1,Open,0,0,-0.0625,5,Cindy Glass,Jarvis-Choi
36,04E2D1295e4FCb8,Organic Search (SEO),Inbound,Closed Won,7,Won,1,1,0.0,4,Leslie Eaton,"Landry, Medina and Valenzuela"
37,8ecf2A96ACD2eBF,Networking Event,Events,Closed Won,7,Won,1,1,0.4,8,Malik Johnson,"Bradshaw, Gomez and Larsen"
38,60Ccc9Bdf3D58FC,LinkedIn Outreach,Outbound,Disqualified,9,Lost,0,1,0.3,6,Melody Jackson,"Ball, Holden and Santiago"
39,7c9ca7AfED4Dd76,Website Form,Inbound,New Lead,0,Open,0,0,0.0,5,Danny Hudson,Mcmillan-Fitzpatrick
40,6c6EBbEb04fb58F,Direct Traffic,Inbound,Re-engagement,1,Open,0,0,0.0,4,Leslie Parks,Hobbs-Proctor
41,087cCc0DfEe63Cc,Trade Show,Events,Re-engagement,1,Open,0,0,0.0556,6,Autumn Kemp,Huynh-Johnston
42,f8361E43AeAa8Bc,Cold Email,Outbound,Proposal Sent,4,Open,0,0,0.0,7,Bruce Shepherd,Downs-Hubbard
43,a87ea8D8A113A4D,Cold Email,Outbound,Proposal Sent,4,Open,0,0,0.4,6,Sherry Lara,"Young, Blair and Snyder"
44,F39daa74BBF75e5,Content Marketing,Inbound,Closed Lost,8,Lost,0,1,0.0,7,Yvonne Mcintosh,"Hobbs, Villanueva and Walsh"
45,5fe01E97D6cBFaC,Webinars,Events,Proposal Sent,4,Open,0,0,0.4,8,Daniel Dunn,Colon and Sons
46,F03FfF5A3BFC24f,Retargeting Ads,Paid Ads,Re-engagement,1,Open,0,0,0.1136,5,Beverly Parsons,Davidson Inc
47,9fFcDbbAddcf12f,Direct Traffic,Inbound,Disqualified,9,Lost,0,1,0.0,6,Carla Grimes,Good Inc
